mesh_code,ward_code,ward_ja,lat,lon,night_pop,day_pop,day_resident,inflow_work,inflow_school
5339357843,13103,港区,35.64895833333333,139.7328125,754,1016,230,647,139
5339357844,13103,港区,35.64895833333333,139.7359375,1853,1315,526,649,140
5339357911,13103,港区,35.64270833333333,139.73906250000002,702,3680,229,3182,269
5339357912,13103,港区,35.64270833333333,139.74218750000003,394,3563,115,3181,267
5339357913,13103,港区,35.64479166666666,139.73906250000002,916,3665,215,3182,268
5339357914,13103,港区,35.64479166666666,139.74218750000003,227,3520,70,3181,269
5339357921,13103,港区,35.64270833333333,139.7453125,1100,11730,325,10945,460
5339357922,13103,港区,35.64270833333333,139.74843750000002,440,11528,124,10945,459
5339357923,13103,港区,35.64479166666666,139.7453125,30,11421,18,10943,460
5339357924,13103,港区,35.64479166666666,139.74843750000002,184,11445,41,10945,459
5339357931,13103,港区,35.646875,139.73906250000002,2728,5083,881,1512,2690
5339357932,13103,港区,35.646875,139.74218750000003,808,4425,223,1512,2690
5339357933,13103,港区,35.64895833333333,139.73906250000002,989,4524,323,1511,2690
5339357934,13103,港区,35.64895833333333,139.74218750000003,133,4232,31,1512,2689
5339357941,13103,港区,35.646875,139.7453125,332,7697,112,7452,133
5339357942,13103,港区,35.646875,139.74843750000002,287,7694,110,7453,131
5339357943,13103,港区,35.64895833333333,139.7453125,992,7785,201,7452,132
5339357944,13103,港区,35.64895833333333,139.74843750000002,894,8100,516,7452,132
5339358011,13112,世田谷区,35.65104166666667,139.6265625,988,414,353,61,0
5339358012,13112,世田谷区,35.65104166666667,139.62968750000002,1059,420,361,59,0
5339358013,13112,世田谷区,35.653125,139.6265625,1920,670,611,59,0
5339358014,13112,世田谷区,35.653125,139.62968750000002,1094,466,406,60,0
5339358021,13112,世田谷区,35.65104166666667,139.6328125,1221,1186,310,876,0
5339358022,13112,世田谷区,35.65104166666667,139.6359375,657,1055,179,876,0
5339358023,13112,世田谷区,35.653125,139.6328125,1203,1225,349,876,0
5339358024,13112,世田谷区,35.653125,139.6359375,1176,1255,379,876,0
5339358031,13112,世田谷区,35.65520833333334,139.6265625,1480,1280,516,245,519
5339358032,13112,世田谷区,35.65520833333334,139.62968750000002,648,932,169,245,518
5339358033,13112,世田谷区,35.65729166666667,139.6265625,1302,1125,363,245,517
5339358034,13112,世田谷区,35.65729166666667,139.62968750000002,747,964,201,245,518
5339358041,13112,世田谷区,35.65520833333334,139.6328125,1131,677,332,143,202
5339358042,13112,世田谷区,35.65520833333334,139.6359375,979,649,305,144,200
5339358043,13112,世田谷区,35.65729166666667,139.6328125,1406,801,457,143,201
5339358044,13112,世田谷区,35.65729166666667,139.6359375,1428,763,418,144,201
5339358111,13112,世田谷区,35.65104166666667,139.6390625,1007,819,268,551,0
5339358112,13112,世田谷区,35.65104166666667,139.6421875,1065,848,297,551,0
5339358113,13112,世田谷区,35.653125,139.6390625,1202,928,377,551,0
5339358114,13112,世田谷区,35.653125,139.6421875,787,792,240,552,0
5339358121,13112,世田谷区,35.65104166666667,139.6453125,977,629,322,307,0
5339358122,13112,世田谷区,35.65104166666667,139.6484375,924,583,276,307,0
5339358123,13112,世田谷区,35.653125,139.6453125,960,579,273,306,0
5339358124,13112,世田谷区,35.653125,139.6484375,1217,654,347,307,0
5339358131,13112,世田谷区,35.65520833333334,139.6390625,823,403,268,135,0
5339358132,13112,世田谷区,35.65520833333334,139.6421875,1002,479,343,136,0
5339358133,13112,世田谷区,35.65729166666667,139.6390625,958,388,254,134,0
5339358134,13112,世田谷区,35.65729166666667,139.6421875,1071,466,330,136,0
5339358141,13112,世田谷区,35.65520833333334,139.6453125,1044,628,295,333,0
5339358142,13112,世田谷区,35.65520833333334,139.6484375,1350,712,379,333,0
5339358143,13112,世田谷区,35.65729166666667,139.6453125,1009,639,306,333,0
5339358144,13112,世田谷区,35.65729166666667,139.6484375,1166,638,305,333,0
5339358211,13112,世田谷区,35.65104166666667,139.6515625,1077,868,338,115,415
5339358212,13112,世田谷区,35.65104166666667,139.65468750000002,848,813,283,116,414
5339358213,13112,世田谷区,35.653125,139.6515625,1124,871,341,115,415
5339358214,13112,世田谷区,35.653125,139.65468750000002,1203,867,337,116,414
5339358221,13112,世田谷区,35.65104166666667,139.6578125,1254,534,366,168,0
5339358222,13112,世田谷区,35.65104166666667,139.66093750000002,963,438,269,169,0
5339358223,13112,世田谷区,35.653125,139.6578125,1123,508,340,168,0
5339358224,13112,世田谷区,35.653125,139.66093750000002,836,367,198,169,0
5339358231,13112,世田谷区,35.65520833333334,139.6515625,1015,1188,313,753,122
5339358232,13112,世田谷区,35.65520833333334,139.65468750000002,1263,1213,336,754,123
5339358233,13112,世田谷区,35.65729166666667,139.6515625,738,1163,288,753,122
5339358234,13112,世田谷区,35.65729166666667,139.65468750000002,391,979,102,754,123
5339358241,13112,世田谷区,35.65520833333334,139.6578125,1152,635,328,158,149
5339358242,13112,世田谷区,35.65520833333334,139.66093750000002,969,591,283,158,150
5339358243,13112,世田谷区,35.65729166666667,139.6578125,792,553,248,157,148
5339358244,13112,世田谷区,35.65729166666667,139.66093750000002,1040,603,295,158,150
5339358311,13112,世田谷区,35.65104166666667,139.6640625,1114,736,297,329,110
5339358312,13112,世田谷区,35.65104166666667,139.6671875,1176,767,330,328,109
5339358313,13112,世田谷区,35.653125,139.6640625,1231,760,322,328,110
5339358314,13112,世田谷区,35.653125,139.6671875,1181,762,324,328,110
5339358321,13112,世田谷区,35.65104166666667,139.6703125,1788,1087,527,281,279
5339358322,13112,世田谷区,35.65104166666667,139.6734375,1036,895,335,281,279
5339358323,13112,世田谷区,35.653125,139.6703125,1000,871,312,280,279
5339358324,13112,世田谷区,35.653125,139.6734375,1067,841,281,281,279
5339358331,13112,世田谷区,35.65520833333334,139.6640625,825,655,271,384,0
5339358332,13112,世田谷区,35.65520833333334,139.6671875,711,590,206,384,0
5339358333,13112,世田谷区,35.65729166666667,139.6640625,1096,765,382,383,0
