mesh_code,ward_ja,lat,lon,pop_total,hh_general,hh_single,hh_single_20s,hh_elderly_single,hh_with_under6,hh_in_housing,hh_owned,hh_private_rent,hh_public_rent,hh_detached,hh_apartment,hh_apt_15plus_bldg
5339562111,足立区,35.76770833333333,139.7640625,600,274,112.0,31.0,26.0,18.0,274.0,169.0,97.0,0.0,172.0,100.0,0.0
5339562112,足立区,35.76770833333333,139.7671875,1125,576,255.0,8.0,153.0,36.0,576.0,64.0,102.0,406.0,65.0,510.0,0.0
5339562113,足立区,35.76979166666666,139.7640625,832,431,214.0,36.0,63.0,14.0,428.0,261.0,146.0,0.0,271.0,142.0,0.0
5339562114,足立区,35.76979166666666,139.7671875,856,425,199.0,30.0,81.0,30.0,420.0,94.0,113.0,201.0,96.0,320.0,0.0
5339562121,足立区,35.76770833333333,139.7703125,791,345,115.0,9.0,55.0,58.0,345.0,123.0,94.0,123.0,23.0,322.0,100.0
5339562122,足立区,35.76770833333333,139.7734375,947,451,218.0,42.0,58.0,24.0,443.0,183.0,201.0,33.0,182.0,258.0,0.0
5339562123,足立区,35.76979166666666,139.7703125,492,240,120.0,27.0,12.0,16.0,240.0,99.0,107.0,0.0,56.0,184.0,0.0
5339562124,足立区,35.76979166666666,139.7734375,925,435,182.0,29.0,64.0,33.0,432.0,226.0,95.0,102.0,230.0,199.0,0.0
5339562131,足立区,35.771875,139.7640625,1465,817,425.0,4.0,291.0,51.0,815.0,194.0,34.0,577.0,122.0,689.0,0.0
5339562132,足立区,35.771875,139.7671875,962,451,187.0,50.0,39.0,29.0,451.0,270.0,154.0,4.0,214.0,229.0,0.0
5339562133,足立区,35.77395833333333,139.7640625,1038,537,300.0,3.0,227.0,6.0,535.0,49.0,41.0,443.0,52.0,483.0,0.0
5339562134,足立区,35.77395833333333,139.7671875,500,260,116.0,35.0,27.0,17.0,252.0,162.0,51.0,0.0,88.0,164.0,0.0
5339562141,足立区,35.771875,139.7703125,1259,643,266.0,37.0,66.0,46.0,642.0,361.0,249.0,0.0,75.0,566.0,2.0
5339562142,足立区,35.771875,139.7734375,700,303,97.0,7.0,40.0,24.0,302.0,190.0,106.0,0.0,148.0,146.0,0.0
5339562143,足立区,35.77395833333333,139.7703125,1065,511,195.0,21.0,61.0,23.0,511.0,386.0,118.0,0.0,75.0,436.0,69.0
5339562144,足立区,35.77395833333333,139.7734375,1063,454,190.0,8.0,107.0,13.0,454.0,134.0,85.0,229.0,66.0,387.0,0.0
5339562211,足立区,35.76770833333333,139.7765625,934,395,138.0,19.0,57.0,28.0,394.0,291.0,96.0,0.0,225.0,168.0,0.0
5339562212,足立区,35.76770833333333,139.77968750000002,1007,452,186.0,46.0,46.0,26.0,450.0,298.0,125.0,0.0,230.0,215.0,0.0
5339562213,足立区,35.76979166666666,139.7765625,719,325,138.0,11.0,31.0,18.0,325.0,202.0,119.0,0.0,203.0,122.0,0.0
5339562214,足立区,35.76979166666666,139.77968750000002,1021,495,237.0,30.0,70.0,24.0,491.0,308.0,170.0,0.0,315.0,176.0,0.0
5339562221,足立区,35.76770833333333,139.7828125,938,406,150.0,8.0,47.0,31.0,403.0,276.0,116.0,0.0,304.0,95.0,0.0
5339562222,足立区,35.76770833333333,139.78593750000002,1086,526,229.0,14.0,96.0,23.0,526.0,271.0,225.0,0.0,282.0,238.0,0.0
5339562223,足立区,35.76979166666666,139.7828125,1048,517,225.0,29.0,96.0,37.0,510.0,342.0,162.0,0.0,344.0,165.0,0.0
5339562224,足立区,35.76979166666666,139.78593750000002,891,426,181.0,20.0,58.0,29.0,421.0,239.0,173.0,0.0,243.0,175.0,0.0
5339562231,足立区,35.771875,139.7765625,1255,654,307.0,33.0,137.0,49.0,652.0,194.0,151.0,295.0,194.0,457.0,0.0
5339562232,足立区,35.771875,139.77968750000002,1119,607,336.0,50.0,135.0,20.0,603.0,236.0,161.0,192.0,238.0,363.0,0.0
5339562233,足立区,35.77395833333333,139.7765625,920,452,195.0,18.0,85.0,33.0,450.0,251.0,121.0,67.0,255.0,183.0,0.0
5339562234,足立区,35.77395833333333,139.77968750000002,1414,647,313.0,42.0,96.0,27.0,639.0,393.0,222.0,6.0,311.0,320.0,0.0
5339562241,足立区,35.771875,139.7828125,1416,640,210.0,19.0,72.0,37.0,637.0,508.0,120.0,0.0,201.0,435.0,0.0
5339562242,足立区,35.771875,139.78593750000002,1200,569,222.0,22.0,72.0,38.0,566.0,337.0,214.0,0.0,264.0,300.0,0.0
5339562243,足立区,35.77395833333333,139.7828125,1265,612,276.0,50.0,64.0,39.0,598.0,265.0,194.0,77.0,193.0,399.0,0.0
5339562244,足立区,35.77395833333333,139.78593750000002,1080,495,184.0,17.0,54.0,31.0,495.0,276.0,102.0,103.0,41.0,454.0,241.0
5339562311,足立区,35.76770833333333,139.7890625,1032,495,225.0,22.0,89.0,39.0,495.0,299.0,187.0,0.0,301.0,190.0,0.0
5339562312,足立区,35.76770833333333,139.7921875,1098,557,265.0,65.0,74.0,18.0,556.0,314.0,227.0,0.0,256.0,293.0,0.0
5339562313,足立区,35.76979166666666,139.7890625,1111,603,337.0,61.0,101.0,15.0,602.0,288.0,292.0,0.0,288.0,300.0,0.0
5339562314,足立区,35.76979166666666,139.7921875,1029,534,278.0,62.0,81.0,30.0,526.0,282.0,205.0,26.0,219.0,305.0,0.0
5339562321,足立区,35.76770833333333,139.7953125,1328,718,373.0,87.0,96.0,41.0,718.0,385.0,302.0,0.0,251.0,466.0,0.0
5339562322,足立区,35.76770833333333,139.7984375,1566,739,309.0,72.0,83.0,49.0,739.0,488.0,236.0,0.0,160.0,579.0,0.0
5339562323,足立区,35.76979166666666,139.7953125,1721,842,409.0,81.0,84.0,76.0,841.0,509.0,307.0,0.0,192.0,649.0,0.0
5339562324,足立区,35.76979166666666,139.7984375,1918,920,419.0,95.0,69.0,58.0,918.0,567.0,300.0,0.0,127.0,784.0,237.0
5339562331,足立区,35.771875,139.7890625,1356,721,376.0,80.0,80.0,46.0,720.0,263.0,421.0,0.0,255.0,460.0,0.0
5339562332,足立区,35.771875,139.7921875,1294,650,318.0,71.0,92.0,45.0,649.0,350.0,258.0,8.0,223.0,426.0,0.0
5339562333,足立区,35.77395833333333,139.7890625,2973,1369,471.0,80.0,41.0,221.0,1321.0,303.0,884.0,0.0,57.0,1264.0,42.0
5339562334,足立区,35.77395833333333,139.7921875,1322,728,402.0,66.0,132.0,38.0,726.0,312.0,325.0,62.0,206.0,518.0,0.0
5339562341,足立区,35.771875,139.7953125,2456,1167,459.0,33.0,218.0,95.0,1164.0,733.0,244.0,156.0,148.0,1014.0,242.0
5339562342,足立区,35.771875,139.7984375,886,556,359.0,69.0,78.0,22.0,555.0,192.0,319.0,0.0,138.0,416.0,0.0
5339562343,足立区,35.77395833333333,139.7953125,1933,844,311.0,53.0,87.0,93.0,844.0,561.0,235.0,30.0,79.0,765.0,500.0
