mesh_code,est_all,emp_all,est_manufacturing,emp_manufacturing,est_ict,emp_ict,est_wholesale_retail,emp_wholesale_retail,est_finance,emp_finance,est_real_estate,emp_real_estate,est_professional,emp_professional,est_accommodation_food,emp_accommodation_food,est_medical_welfare,emp_medical_welfare,lat,lon,ward_code,ward_ja
533955262,52,1246,2,6,0,0,3,41,1,1,5,7,3,12,4,79,8,242,35.76875,139.709375,13117,北区
533955263,162,2946,43,1552,2,21,30,454,1,2,12,25,4,10,12,42,14,564,35.77291666666667,139.703125,13119,板橋区
533955264,53,640,7,24,0,0,9,84,0,0,8,12,1,7,4,11,9,127,35.77291666666667,139.709375,13117,北区
533955271,84,431,9,53,3,8,15,65,2,3,13,20,3,7,4,49,7,67,35.76875,139.71562500000002,13117,北区
533955272,70,875,8,42,2,8,10,103,0,0,8,16,8,131,5,15,7,212,35.76875,139.721875,13117,北区
533955273,104,666,9,17,3,6,16,96,2,5,23,40,7,27,7,51,11,343,35.77291666666667,139.71562500000002,13117,北区
533955274,131,2212,14,161,0,0,18,133,4,15,17,39,8,99,10,209,12,598,35.77291666666667,139.721875,13117,北区
533955281,257,1423,15,70,6,14,73,430,6,29,28,58,13,37,32,136,23,256,35.76875,139.728125,13117,北区
533955282,133,1683,14,864,3,41,31,203,3,13,11,30,11,27,7,36,18,241,35.76875,139.734375,13117,北区
533955283,132,1412,14,525,2,4,31,134,1,1,17,46,6,38,10,45,10,183,35.77291666666667,139.728125,13117,北区
533955284,63,2904,10,105,2,4,6,182,0,0,4,1029,4,952,2,9,6,105,35.77291666666667,139.734375,13117,北区
533955291,61,1133,6,54,2,7,8,42,1,2,5,9,3,157,5,134,2,13,35.76875,139.74062500000002,13117,北区
533955292,60,513,10,41,3,5,14,213,3,3,2,4,0,0,6,31,5,48,35.76875,139.74687500000002,13121,足立区
533955293,110,1699,23,420,2,4,25,257,1,12,3,6,5,11,13,92,8,279,35.77291666666667,139.74062500000002,13121,足立区
533955294,35,226,9,50,1,1,4,22,0,0,2,4,2,8,2,16,4,46,35.77291666666667,139.74687500000002,13121,足立区
533955301,270,3141,8,143,9,113,52,566,14,543,21,211,22,130,51,416,19,192,35.77708333333333,139.628125,13120,練馬区
533955302,418,4917,6,39,5,56,77,1016,10,237,64,343,17,71,61,875,53,828,35.77708333333333,139.634375,13119,板橋区
